Info 0    [17:56:52.990] Starting TS Server
Info 180  [18:11:53.742] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 181  [18:11:53.870] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 182  [18:11:53.888] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 18 structureChanged: false Elapsed: 18ms
Info 183  [18:11:53.888] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 184  [18:11:54.259] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 185  [18:11:54.278] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 19 structureChanged: false Elapsed: 19ms
Info 186  [18:11:54.278] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 187  [18:11:54.534] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 188  [18:11:54.552] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 20 structureChanged: false Elapsed: 18ms
Info 189  [18:11:54.552] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 190  [18:11:54.599] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 191  [18:11:54.617] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 21 structureChanged: false Elapsed: 18ms
Info 192  [18:11:54.617] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 193  [18:11:54.638] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 194  [18:11:54.653] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 22 structureChanged: false Elapsed: 15ms
Info 195  [18:11:54.653] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 196  [18:11:54.710] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 197  [18:11:54.726] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 23 structureChanged: false Elapsed: 16ms
Info 198  [18:11:54.726] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 199  [18:11:54.822] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 200  [18:11:54.837] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 24 structureChanged: false Elapsed: 15ms
Info 201  [18:11:54.837] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 202  [18:11:54.935] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 203  [18:11:54.950] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 25 structureChanged: false Elapsed: 15ms
Info 204  [18:11:54.950] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 205  [18:11:55.182] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 206  [18:11:55.198] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 26 structureChanged: false Elapsed: 16ms
Info 207  [18:11:55.198] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 208  [18:11:55.487] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 209  [18:11:55.506] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 27 structureChanged: false Elapsed: 19ms
Info 210  [18:11:55.506] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 211  [18:11:55.695] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 212  [18:11:55.711] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 28 structureChanged: false Elapsed: 16ms
Info 213  [18:11:55.711] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 214  [18:11:55.750] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 215  [18:11:55.765] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 29 structureChanged: false Elapsed: 15ms
Info 216  [18:11:55.765] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 217  [18:11:55.798] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 218  [18:11:55.814] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 30 structureChanged: false Elapsed: 16ms
Info 219  [18:11:55.814] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 220  [18:11:55.999] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 221  [18:11:56.15] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 31 structureChanged: false Elapsed: 16ms
Info 222  [18:11:56.15] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 223  [18:11:56.15] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 224  [18:11:56.30] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 32 structureChanged: false Elapsed: 15ms
Info 225  [18:11:56.30] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 226  [18:11:56.46] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 227  [18:11:56.63] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 33 structureChanged: false Elapsed: 17ms
Info 228  [18:11:56.63] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 229  [18:11:58.306] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 230  [18:11:58.325] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 34 structureChanged: false Elapsed: 19ms
Info 231  [18:11:58.325] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 232  [18:11:58.728] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 233  [18:11:58.746] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 35 structureChanged: false Elapsed: 18ms
Info 234  [18:11:58.746] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 235  [18:11:58.746] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 236  [18:11:58.763] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 36 structureChanged: false Elapsed: 17ms
Info 237  [18:11:58.763] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 238  [18:11:58.990] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 239  [18:11:59.6] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 37 structureChanged: false Elapsed: 16ms
Info 240  [18:11:59.6] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 241  [18:11:59.38] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 242  [18:11:59.55] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 38 structureChanged: false Elapsed: 17ms
Info 243  [18:11:59.56] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 244  [18:11:59.215] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 245  [18:11:59.231] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 39 structureChanged: false Elapsed: 16ms
Info 246  [18:11:59.231] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 247  [18:11:59.407] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 248  [18:11:59.422] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 40 structureChanged: false Elapsed: 15ms
Info 249  [18:11:59.422] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 250  [18:11:59.551] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 251  [18:11:59.566] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 41 structureChanged: false Elapsed: 15ms
Info 252  [18:11:59.566] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 253  [18:11:59.623] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 254  [18:11:59.638] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 42 structureChanged: false Elapsed: 15ms
Info 255  [18:11:59.638] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 256  [18:11:59.767] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 257  [18:11:59.783] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 43 structureChanged: false Elapsed: 16ms
Info 258  [18:11:59.783] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 259  [18:11:59.967] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 260  [18:11:59.983] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 44 structureChanged: false Elapsed: 16ms
Info 261  [18:11:59.983] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 262  [18:11:59.983] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 263  [18:11:59.998] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 45 structureChanged: false Elapsed: 15ms
Info 264  [18:11:59.998] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 265  [18:12:0.22] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 266  [18:12:0.44] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 46 structureChanged: false Elapsed: 22ms
Info 267  [18:12:0.44] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 268  [18:12:0.135] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 269  [18:12:0.150] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 47 structureChanged: false Elapsed: 15ms
Info 270  [18:12:0.150] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 271  [18:12:0.240] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 272  [18:12:0.255] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 48 structureChanged: false Elapsed: 15ms
Info 273  [18:12:0.255] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 274  [18:12:0.335] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 275  [18:12:0.351] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 49 structureChanged: false Elapsed: 16ms
Info 276  [18:12:0.351] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 277  [18:12:0.430] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
